HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.q1,Answer.q2,Answer.q3,Answer.q4,Answer.q5,Answer.q6,Answer.q7,Answer.q8,Answer.q9,Answer.q10,Answer.q11,Answer.q12,Answer.q13,Answer.q14,Answer.q15,Answer.q16,Answer.q17,Answer.q18,Answer.q19,Answer.q20,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q26,Answer.q27,Answer.q28,Answer.q29,Answer.q30,Answer.q31,Answer.q32,Answer.q33,Answer.q34,Answer.q35,Answer.q36,Answer.q37,Answer.q38,Answer.q39,Answer.q40,Answer.q41,Answer.q42,Answer.q43,Answer.q44,Answer.q45,Answer.q46,Answer.q47,Answer.q48,Answer.q49,Answer.q50,Answer.q51,Answer.q52,Answer.q53,Answer.q54,Answer.q55,Answer.q56,Answer.q57,Answer.q58,Approve,Reject
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,30IQTZXKBC181HF4XS8PC39LE1CX0E,A3PBZQL9OOO6V,Submitted,Tue Aug 12 06:53:03 PDT 2025,Tue Aug 12 06:59:37 PDT 2025,Fri Aug 15 06:59:37 PDT 2025,,,,394,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,A,B,A,B,A,B,B,A,A,A,B,B,B,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,A,B,A,B,B,A,B,A,B,B,B,B,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,30JNVC0OS1FZ3KKO9MKIONC93FSHQ4,AR3ESTB6DUGVR,Submitted,Tue Aug 12 07:01:28 PDT 2025,Tue Aug 12 07:06:36 PDT 2025,Fri Aug 15 07:06:36 PDT 2025,,,,308,0% (0/0),0% (0/0),0% (0/0),A,A,A,A,A,B,A,B,B,A,B,B,A,A,A,A,A,B,A,B,B,A,A,A,B,A,A,B,B,B,A,A,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,A,A,A,A,B,A,B,A,A,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,345LHZDEEPNC15K6BAFLUU8ONVG3UO,ANY5TLS00AIG2,Submitted,Tue Aug 12 07:01:18 PDT 2025,Tue Aug 12 07:02:18 PDT 2025,Fri Aug 15 07:02:18 PDT 2025,,,,60,0% (0/0),0% (0/0),0% (0/0),A,A,B,B,A,A,A,A,B,A,B,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,B,A,B,A,A,B,A,A,A,B,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,34J10VATK7TZZFV8F423OZDO3S8QI7,A21X40K1JQVQZJ,Submitted,Tue Aug 12 07:01:38 PDT 2025,Tue Aug 12 07:07:18 PDT 2025,Fri Aug 15 07:07:18 PDT 2025,,,,340,0% (0/0),0% (0/0),0% (0/0),A,B,A,A,A,B,B,B,A,B,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,B,,B,B,B,A,B,A,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,34S9DKFK8VK0MIXL3UWP6TC7O0INYM,A24C1VGPDWHLAV,Submitted,Tue Aug 12 07:01:28 PDT 2025,Tue Aug 12 07:07:29 PDT 2025,Fri Aug 15 07:07:29 PDT 2025,,,,361,0% (0/0),0% (0/0),0% (0/0),B,B,A,B,B,B,A,B,B,B,A,B,A,B,B,B,B,A,B,A,A,B,B,A,B,B,A,A,A,B,B,B,A,A,B,B,A,B,,A,B,B,B,B,A,A,B,A,B,B,A,B,B,B,B,B,A,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,34Z02EIMJK81K06KSI7SN0OF15R0T1,A26GNQ4R8TVTBG,Submitted,Tue Aug 12 06:53:38 PDT 2025,Tue Aug 12 07:01:10 PDT 2025,Fri Aug 15 07:01:10 PDT 2025,,,,452,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,B,B,A,B,B,A,B,,A,B,,A,B,B,B,A,B,A,B,A,B,B,A,B,B,A,B,A,B,B,A,B,A,B,A,B,B,A,B,B,B,A,B,B,B,B,A,B,B,A,A,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3570Y55X0HEUCQGZGQJUG93ANOVGY6,A4W6VB5YF176F,Submitted,Tue Aug 12 06:53:02 PDT 2025,Tue Aug 12 07:00:37 PDT 2025,Fri Aug 15 07:00:37 PDT 2025,,,,455,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,A,B,A,B,A,B,B,A,A,B,B,B,A,B,A,A,B,B,B,B,B,A,A,A,A,B,B,B,B,B,A,B,B,B,A,A,A,B,A,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,35BLDD71JYSDZDGZ17KZUHFMGXPVZ3,A26KNTBSOL8U38,Submitted,Tue Aug 12 06:53:38 PDT 2025,Tue Aug 12 07:01:09 PDT 2025,Fri Aug 15 07:01:09 PDT 2025,,,,451,0% (0/0),0% (0/0),0% (0/0),A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,35GCEFQ6JXJTN4EGHXETBMN3PDUZ38,A2J269V9SJX7S5,Submitted,Tue Aug 12 06:53:03 PDT 2025,Tue Aug 12 06:56:22 PDT 2025,Fri Aug 15 06:56:22 PDT 2025,,,,199,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,A,B,A,B,A,B,A,B,A,B,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,A,B,B,A,B,B,A,B,A,B,B,B,A,A,B,A,B,A,B,B,A,B,A,B,A,B,A,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,35GCEFQ6JXJTN4EGHXETBMN3PDV3ZD,AAYLCV5OMZL7U,Submitted,Tue Aug 12 07:03:43 PDT 2025,Tue Aug 12 07:05:54 PDT 2025,Fri Aug 15 07:05:54 PDT 2025,,,,131,0% (0/0),0% (0/0),0% (0/0),A,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,B,A,B,A,A,B,A,A,A,A,B,A,A,A,A,A,B,A,A,B,A,A,B,A,A,B,A,A,B,A,A,A,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,388U7OUMGZWO4LTSOT2XNLNXDKU0RO,A29QWU4TE8WZBJ,Submitted,Tue Aug 12 06:53:38 PDT 2025,Tue Aug 12 06:57:41 PDT 2025,Fri Aug 15 06:57:41 PDT 2025,,,,243,0% (0/0),0% (0/0),0% (0/0),A,B,B,B,B,B,A,B,A,B,A,A,B,A,B,A,A,A,B,A,A,B,A,A,B,A,B,A,B,B,A,B,A,B,B,B,A,B,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A,B,A,A,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,39GAF6DQXJVG4HVRTWB72NVA3IBV1D,A2LE2F5QO2GG8,Submitted,Tue Aug 12 06:58:21 PDT 2025,Tue Aug 12 07:05:44 PDT 2025,Fri Aug 15 07:05:44 PDT 2025,,,,443,0% (0/0),0% (0/0),0% (0/0),,,B,B,B,A,B,A,B,A,B,B,A,A,A,B,A,B,A,A,B,A,A,A,A,A,B,B,A,B,B,A,B,B,A,B,A,B,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,39N5ACM9I6ILO21QBXH1B1OBF6XP9U,A57CKWIDGUQ27,Submitted,Tue Aug 12 07:01:07 PDT 2025,Tue Aug 12 07:04:39 PDT 2025,Fri Aug 15 07:04:39 PDT 2025,,,,212,0% (0/0),0% (0/0),0% (0/0),A,B,A,A,A,B,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,B,A,A,A,A,B,B,B,B,B,A,B,,A,B,A,A,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,39RP059MF9OYRSJAH135L3P6Y1QBMV,A3BZFWDXKOXOJ6,Submitted,Tue Aug 12 07:01:18 PDT 2025,Tue Aug 12 07:06:49 PDT 2025,Fri Aug 15 07:06:49 PDT 2025,,,,331,0% (0/0),0% (0/0),0% (0/0),A,B,A,B,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,A,B,A,A,B,B,A,A,B,A,B,A,B,A,B,B,A,A,B,B,A,B,B,B,B,,B,B,A,B,B,A,,,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,39ZSFO5CB0RNMJMVEV78A1PDJS1UJQ,A3OOWUBV0I1817,Submitted,Tue Aug 12 07:00:57 PDT 2025,Tue Aug 12 07:02:06 PDT 2025,Fri Aug 15 07:02:06 PDT 2025,,,,69,0% (0/0),0% (0/0),0% (0/0),B,B,B,,A,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3A4NIXBJ8YUA415M8ESZZ6LBAV6LMU,AHXJV69FAZ21L,Submitted,Tue Aug 12 06:53:50 PDT 2025,Tue Aug 12 07:00:41 PDT 2025,Fri Aug 15 07:00:41 PDT 2025,,,,411,0% (0/0),0% (0/0),0% (0/0),A,B,A,A,A,B,A,B,A,,A,A,B,B,A,B,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3A7Y0R2P3GJF3NGQJ0IVU8OHDAIXJL,A12Q2V4L5JPDCJ,Submitted,Tue Aug 12 06:53:04 PDT 2025,Tue Aug 12 06:58:45 PDT 2025,Fri Aug 15 06:58:45 PDT 2025,,,,341,0% (0/0),0% (0/0),0% (0/0),A,B,A,A,A,B,A,B,A,B,A,A,B,B,A,B,A,B,B,B,B,A,A,A,B,A,B,B,A,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,B,A,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3B1NLC6UHRR03COYP3NB3IAYJJUPGN,A252PTBVQXM8A8,Submitted,Tue Aug 12 06:53:38 PDT 2025,Tue Aug 12 06:59:48 PDT 2025,Fri Aug 15 06:59:48 PDT 2025,,,,370,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,B,A,B,A,B,A,B,B,A,A,A,B,A,B,A,B,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B,B,,
3XJOUITW9LMMM9DPIDW5DNJ544HQT4,38MPDVA2YH6BLH1A0DWYIAD0U2YGM0,Evaluating AI-Generated Images,"You will be shown a series of text descriptions (prompts) and two images. For each pair, you will be asked to choose which of the two images is a better and more realistic match for the given text prompt.",survey,$0.40,Tue Aug 12 06:52:44 PDT 2025,100,BatchId:5338826;OriginalHitTemplateId:928390912;,480,259200,Tue Aug 19 06:52:44 PDT 2025,,,3B3WTRP3E3XPWV0K9Z6PFOGI4W692S,AO100VY5NH3M6,Submitted,Tue Aug 12 07:01:18 PDT 2025,Tue Aug 12 07:07:20 PDT 2025,Fri Aug 15 07:07:20 PDT 2025,,,,362,0% (0/0),0% (0/0),0% (0/0),B,A,B,B,A,A,A,B,A,A,A,A,B,B,A,A,A,B,B,B,A,B,A,A,B,B,A,A,A,A,A,B,B,B,B,B,B,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,
